,GSM2674214,GSM2674208,GSM2674209,GSM2674210,GSM2674211,GSM2674212,GSM2674213,GSM2674215,GSM2674216,GSM2674197,GSM2674198,GSM2674199,GSM2674200,GSM2674201,GSM2674202,GSM2674203,GSM2674204,GSM2674205,GSM2674206,GSM2674207,FAP_3,NS_2,NS_1,AP.7,AP.8,AP.9,AP.10
GSM2674214,1.0,0.9151311423695181,0.950562937283503,0.8968373080121863,0.9230856035601488,0.8980974014355019,0.9622033112869549,0.8745290660893383,0.9037502965576781,0.8777089076723509,0.9590257966997465,0.8915299000570484,0.8931024668478975,0.9043459814709733,0.902009495534871,0.8866817508275384,0.8883662745200188,0.9111091682935796,0.8468768196400553,0.8768630268459918,0.9367091872604413,0.9523476820398383,0.9397888976171087,0.9243355943551723,0.9344728025072979,0.9336926033641232,0.9568126732853238
GSM2674208,0.9151311423695181,1.0,0.9341440637079984,0.918570034166626,0.9294385520271624,0.9183587705062445,0.8886537643300878,0.9099796902220285,0.9053173084032033,0.9023278041164635,0.9027283663980028,0.9084308928791491,0.9034724030777587,0.8910672561469326,0.9198505684505027,0.9228764268742616,0.924648701714902,0.9387312237074873,0.8835123252991589,0.9286679090108853,0.9140993548097918,0.9004389168806903,0.9068787091977539,0.8902705141082633,0.911699304379557,0.9138115690881073,0.9224572143422634
GSM2674209,0.950562937283503,0.9341440637079984,1.0,0.9256111838212797,0.9343547886525347,0.9358366316565078,0.9326604108177864,0.9081538410668148,0.9199795224654151,0.9174049599779192,0.9355538670399334,0.9120357405527688,0.9169620362625733,0.9061260628985627,0.9340188628966286,0.9204486933936318,0.9278752097650663,0.941306019998897,0.8969393841571184,0.9163269259234538,0.927446756641788,0.9347402553501263,0.9369263320420149,0.9196041931770914,0.9329331062397578,0.9363322807247205,0.9450291559043971
GSM2674210,0.8968373080121863,0.918570034166626,0.9256111838212797,1.0,0.888857108960309,0.9373967591327365,0.8561627380961784,0.9193742675713619,0.9150227238951777,0.929512451887819,0.8928473294300642,0.9037779219508344,0.905732505159864,0.885112217728469,0.9151724073826241,0.897640339090663,0.9208708052863134,0.9152431408492961,0.8856727553422056,0.9190595707447877,0.8778221726291064,0.8723719397365074,0.8670238639530323,0.870778495840334,0.8755683906517027,0.8828425512204017,0.8858508278250761
GSM2674211,0.9230856035601488,0.9294385520271624,0.9343547886525347,0.888857108960309,1.0,0.9040586080410637,0.899359891134968,0.901427798813272,0.8948301653432302,0.910703466936531,0.9055287551233857,0.9133957987849307,0.9205067578278026,0.9002786598386031,0.9172448994077601,0.9212062922022733,0.9230841892902527,0.9508349478808189,0.8943133975802302,0.907036998080561,0.941460565313469,0.9176539160229151,0.9220069572578089,0.906475994349847,0.9334392306432123,0.9338051964169222,0.9313148632649889
GSM2674212,0.8980974014355019,0.9183587705062445,0.9358366316565078,0.9373967591327365,0.9040586080410637,1.0,0.8623714221880802,0.9220882556321924,0.9144025738426179,0.9267661120034845,0.8816004400584498,0.8908533885294899,0.9219552593103362,0.8702632644809657,0.9270539575192926,0.9029096608393852,0.934708635683001,0.9242790600685853,0.9006308095751268,0.9171009628429296,0.9021205104402413,0.8724846011972294,0.8696723164947057,0.8759970972912432,0.8824232074273536,0.895224079483398,0.8987578117787784
GSM2674213,0.9622033112869549,0.8886537643300878,0.9326604108177864,0.8561627380961784,0.899359891134968,0.8623714221880802,1.0,0.8306283828394775,0.8817965286449765,0.8407046397364529,0.957905737607947,0.8639694197968811,0.8589266678391436,0.8851839505062975,0.875070463835427,0.8484840950009503,0.8588282857054922,0.8711909694658111,0.8205022030561193,0.8364270587961389,0.9177191906764725,0.9537845814083086,0.9443318359555208,0.914860785224115,0.92369108140252,0.9243741395280077,0.9463911206353921
GSM2674215,0.8745290660893383,0.9099796902220285,0.9081538410668148,0.9193742675713619,0.901427798813272,0.9220882556321924,0.8306283828394775,1.0,0.899604261193197,0.9234118871726407,0.8603023199138498,0.895094607950317,0.8987086250519823,0.8699450619540166,0.903317892748464,0.9042759153363182,0.9146811232302269,0.9219426727107903,0.8882357186752514,0.9193422549824667,0.8757471401736794,0.8504274269978064,0.8526168943075022,0.8699256552518475,0.8609754388413228,0.8838016186952456,0.869776584503704
GSM2674216,0.9037502965576781,0.9053173084032033,0.9199795224654151,0.9150227238951777,0.8948301653432302,0.9144025738426179,0.8817965286449765,0.899604261193197,1.0,0.9046663740287955,0.8997047150670656,0.8970599445491354,0.8985532112676572,0.9031814139282741,0.9124480160774262,0.8995416706768163,0.9027200071419581,0.9082120921995647,0.8931691138619041,0.8895775955955031,0.9009494866672026,0.8684700617853667,0.873494136414394,0.8642648805849463,0.8807289509919592,0.8767008459725611,0.8991772567066654
GSM2674197,0.8777089076723509,0.9023278041164635,0.9174049599779192,0.929512451887819,0.910703466936531,0.9267661120034845,0.8407046397364529,0.9234118871726407,0.9046663740287955,1.0,0.8690094781753928,0.8961953359591668,0.9179452798781924,0.8746306720754332,0.9077904449827056,0.906829138797979,0.936863652604721,0.9242647369547015,0.9198315192265277,0.9186856763000885,0.8855651046334694,0.8682787325824919,0.8677145182513335,0.8729182602799602,0.8826778550071313,0.8878244141135159,0.8827925631452274
GSM2674198,0.9590257966997465,0.9027283663980028,0.9355538670399334,0.8928473294300642,0.9055287551233857,0.8816004400584498,0.957905737607947,0.8603023199138498,0.8997047150670656,0.8690094781753928,1.0,0.8944699343665572,0.8850954490575635,0.9044952916937818,0.896799626278866,0.867203700558572,0.8783999559194517,0.885200632089483,0.8398268455510628,0.8594451761969929,0.9097799149901241,0.9524407471457208,0.9346354323032374,0.9198049650476657,0.9283262809087749,0.9206607263932923,0.945540167683727
GSM2674199,0.8915299000570484,0.9084308928791491,0.9120357405527688,0.9037779219508344,0.9133957987849307,0.8908533885294899,0.8639694197968811,0.895094607950317,0.8970599445491354,0.8961953359591668,0.8944699343665572,1.0,0.8941621434658648,0.9040148901823366,0.9161187565661824,0.9002204165024461,0.897795092527879,0.9211381960048749,0.8718615658587133,0.9078017482697136,0.8706024363637168,0.8704283351957273,0.8725504262173476,0.855594022254225,0.870002763288937,0.8744033239669402,0.8826790369529203
GSM2674200,0.8931024668478975,0.9034724030777587,0.9169620362625733,0.905732505159864,0.9205067578278026,0.9219552593103362,0.8589266678391436,0.8987086250519823,0.8985532112676572,0.9179452798781924,0.8850954490575635,0.8941621434658648,1.0,0.8865703960967408,0.9053318020758356,0.896370995733408,0.9286685255435728,0.9203071658323924,0.8983010917606815,0.9116921892984798,0.8982712486675827,0.8784967934166671,0.8715208012899864,0.874339654798581,0.8956048444766633,0.8961407471764633,0.8982659076426522
GSM2674201,0.9043459814709733,0.8910672561469326,0.9061260628985627,0.885112217728469,0.9002786598386031,0.8702632644809657,0.8851839505062975,0.8699450619540166,0.9031814139282741,0.8746306720754332,0.9044952916937818,0.9040148901823366,0.8865703960967408,1.0,0.8724963446493834,0.8759536220490091,0.8838120507019723,0.889686981382944,0.8546820160677557,0.8637921889484659,0.8893486981516361,0.8792116010567835,0.8747808943615498,0.8665047273731281,0.8854591402471251,0.8832782833243763,0.9001351859894037
GSM2674202,0.902009495534871,0.9198505684505027,0.9340188628966286,0.9151724073826241,0.9172448994077601,0.9270539575192926,0.875070463835427,0.903317892748464,0.9124480160774262,0.9077904449827056,0.896799626278866,0.9161187565661824,0.9053318020758356,0.8724963446493834,1.0,0.9126312435050747,0.9165592330514416,0.9318185654459833,0.8912170499848787,0.9142741333537092,0.9000024385180015,0.8791703581745158,0.8859693105521281,0.8791970970752003,0.88444785856558,0.8944999336786373,0.8991543552425421
GSM2674203,0.8866817508275384,0.9228764268742616,0.9204486933936318,0.897640339090663,0.9212062922022733,0.9029096608393852,0.8484840950009503,0.9042759153363182,0.8995416706768163,0.906829138797979,0.867203700558572,0.9002204165024461,0.896370995733408,0.8759536220490091,0.9126312435050747,1.0,0.9223211598842109,0.9430553983283487,0.8950754361066999,0.9286844325032446,0.8960385548280652,0.867330673449332,0.8819168873636558,0.8586194048097439,0.8944793072956122,0.8849307442415371,0.8954081946458932
