,GSM2674196,GSM2674188,GSM2674189,GSM2674190,GSM2674191,GSM2674192,GSM2674193,GSM2674194,GSM2674195,GSM2674177,GSM2674178,GSM2674179,GSM2674180,GSM2674181,GSM2674182,GSM2674183,GSM2674184,GSM2674185,GSM2674186,GSM2674187,NA_3,NA_1,SSP_4,SSP_3,SSP_7,SSP_8,CA.1,CA.2,CA.3,CA.4,CL.1,CL.2,CL.3,CL.4,CL.5,CL.6,CL.7,CL.8,CL.9,CL.10,HP.1,HP.2,HP.3,HP.4,HP.5,HP.6
GSM2674196,1.0,0.9778776774993083,0.9795913531544891,0.9252380620454242,0.9328380493970804,0.9342731799770735,0.9157658117041982,0.9624291238476745,0.9657341458671085,0.9689138225786887,0.9703222044956914,0.9752352844120817,0.9721165645987947,0.9647467072759958,0.9723990111011336,0.9262135890165158,0.9660531082360707,0.9344017504460055,0.9691763033819333,0.9432828334472584,0.9358990142987195,0.9503893072406422,0.9134819430398678,0.9490582663143061,0.9441343730483533,0.9350513478317579,0.7153418110394407,0.762497298195424,0.677590054636961,0.7949795229099094,0.9548976560947843,0.9493771513192026,0.9332915791289429,0.9558773116709413,0.9534021739402031,0.9509799352905168,0.9520881974859547,0.9511659350418735,0.9580946154560505,0.9550821284869987,0.9444703976752151,0.9328640837165874,0.9201050880987952,0.9324412085805462,0.9294317759874359,0.9034122483063988
GSM2674188,0.9778776774993083,1.0,0.9778940940701226,0.9285107700261163,0.9450078684288378,0.9404067118336766,0.9265296048311134,0.969624247280271,0.9597672188042771,0.9757936012723943,0.9680367179610655,0.9730894662936718,0.9713101808197928,0.9710369742516557,0.9717030359430271,0.9371553076450676,0.9722148744704,0.936619262099762,0.9679392610488529,0.9504850862233958,0.9392511198091481,0.9544903828905285,0.9088696916282076,0.9469439400916645,0.9415958654180445,0.9318253741905391,0.7245739740372079,0.7676725213590365,0.6842947122557055,0.8030061307106883,0.9538181437632677,0.9433330246369254,0.9269417893366243,0.9535463931480852,0.9456079259882814,0.9505115775270443,0.9584082297544362,0.9502076119980724,0.9557019046620155,0.9592827625842257,0.9474183487620444,0.9225340302059054,0.9135050384304312,0.9265674561071955,0.9195826544436315,0.898296145672929
GSM2674189,0.9795913531544891,0.9778940940701226,1.0,0.9330372556378436,0.9401797875958927,0.9367645344771329,0.9153644558984818,0.9647728699190263,0.9571309764888135,0.968582861557202,0.9737391179518816,0.979976725696628,0.9780307446914358,0.9694954705991915,0.9750114019718835,0.917619292823351,0.967593399684015,0.9195391955123994,0.9758711615891656,0.9429980171230719,0.9406776761580647,0.9599509490845486,0.9258317212636771,0.9454749779699614,0.9421512840109635,0.9295818392661297,0.7162102165314188,0.7408144651048476,0.6676308417968985,0.7907993706384852,0.958911497004824,0.957342613662308,0.9428092054024433,0.9623753426141806,0.9554937393466039,0.9642238541674559,0.9573019649168495,0.9580425371651637,0.9617789687846751,0.9595089591326591,0.950279509879243,0.932697560908516,0.9259391867757275,0.9354456782337787,0.939300762255624,0.9037450290371687
GSM2674190,0.9252380620454242,0.9285107700261163,0.9330372556378436,1.0,0.9813659707111174,0.9848916311642244,0.9791542991249647,0.9619802202561358,0.953863348402412,0.9552957733217735,0.9585032053071433,0.9555449738440639,0.958947142932931,0.9577314503763701,0.9145249085282134,0.9575584832426715,0.9558417284634412,0.9325830435550319,0.9653232956998531,0.95827523180921,0.9506695630108565,0.9397232277723768,0.9003586399869532,0.9110501961306087,0.9083780228144533,0.9014508999187599,0.7284040823147463,0.7753337468716207,0.6160000019169458,0.8090357054501893,0.9128054174486254,0.9074540661851277,0.890240412623271,0.9200196661551059,0.9193947295964696,0.9253449359771968,0.9169551771272915,0.9383633449856381,0.903723447781357,0.917043301529046,0.940207239227734,0.8969386151160093,0.9190771759370856,0.9023303298922524,0.904939319725811,0.9193392459946217
GSM2674191,0.9328380493970804,0.9450078684288378,0.9401797875958927,0.9813659707111174,1.0,0.9832024049943844,0.9801882875325082,0.9704230491599666,0.955358097285238,0.9634952503736735,0.9599115135264666,0.9592547077324343,0.9631171038263217,0.9687888824562255,0.9268751958330852,0.9613433522050016,0.9650764604219488,0.9320937414709921,0.9663638695944211,0.9607459680375722,0.9548080325385584,0.9511908880866106,0.9022316532329236,0.9172890489006591,0.913915576358504,0.9050170452397929,0.7292981436215322,0.7751775159524735,0.6236224519314306,0.8124377840279035,0.91975720301015,0.9079933004816445,0.8956869497486997,0.9292823875667902,0.9214901015788389,0.9325649565034863,0.9306391144120585,0.9425071797286902,0.9145246211420506,0.9271973279035101,0.947702012007713,0.8937455131410843,0.9126497249637184,0.9015236269775068,0.9041006499305233,0.9097409865473916
GSM2674192,0.9342731799770735,0.9404067118336766,0.9367645344771329,0.9848916311642244,0.9832024049943844,1.0,0.9805143980683717,0.9706621571254842,0.9630188125792964,0.9668710705737078,0.9635170820536142,0.9611151256601479,0.9614835285206433,0.9669184785398975,0.9211234075912202,0.9649556207992699,0.9616769982360882,0.9405162311791806,0.9661330608036979,0.9613408336405088,0.9580791243275416,0.943700568569107,0.8994742620317767,0.9174022894019548,0.9138533420503342,0.9092291374736361,0.7333352096039888,0.793487082834519,0.6295511162822632,0.8195966907853617,0.918103947839952,0.908719215792699,0.8889398614599756,0.9236422509612382,0.9211367989736208,0.9252874713892382,0.9241505005988124,0.9405880958861805,0.9105869350749004,0.9224335692090874,0.9432686466025757,0.8983311579787915,0.9156424931405035,0.9038930625458305,0.903166432620731,0.9219951976216509
GSM2674193,0.9157658117041982,0.9265296048311134,0.9153644558984818,0.9791542991249647,0.9801882875325082,0.9805143980683717,1.0,0.9558864233368364,0.9457038667337692,0.9514166094901422,0.9485076718852273,0.9425203671352183,0.9450396838114231,0.9492131682622573,0.9080665846765151,0.9662937276417669,0.9546977988771795,0.9381334925364646,0.9521110150759678,0.9606703089353994,0.9433376717209292,0.9336617821133714,0.8856218743583832,0.9047690315223578,0.8952679273718435,0.8943404814138831,0.7345576122274081,0.7893820339206036,0.6255273194490817,0.8162029957645455,0.9036330117782038,0.8903535987140676,0.8756593844094064,0.9082834272849037,0.9088554265636011,0.9144687454245962,0.9117988111109719,0.9286171372456212,0.8925259824301456,0.9142357079623795,0.9381038351922181,0.8852918549797707,0.9087636046222212,0.8879708896453959,0.8827283407445623,0.9092706236184318
GSM2674194,0.9624291238476745,0.969624247280271,0.9647728699190263,0.9619802202561358,0.9704230491599666,0.9706621571254842,0.9558864233368364,1.0,0.9754742312056834,0.9843451196208146,0.9801828301053317,0.9794607930856469,0.9821668837281189,0.9838216369263683,0.9606494878694659,0.9533243030076191,0.9746809995994572,0.9357943928699517,0.977370005096723,0.9581842480898957,0.9612219829275317,0.9606511775766392,0.9162869647248323,0.9402984203410949,0.939122039359122,0.9293923642553438,0.7422472892241133,0.7866618631893441,0.6593540592641675,0.824858838652783,0.9475712139605775,0.9347093554929339,0.9163363906888616,0.9507227418471285,0.9466980709617893,0.9479316890390718,0.9555899457781062,0.9547300355076823,0.9452047752600414,0.9540010729215492,0.9577279763537943,0.9237009534018565,0.9190593845376371,0.9254099313614407,0.9268740068140418,0.9219574801300201
GSM2674195,0.9657341458671085,0.9597672188042771,0.9571309764888135,0.953863348402412,0.955358097285238,0.9630188125792964,0.9457038667337692,0.9754742312056834,1.0,0.9753877685880359,0.9719639284721073,0.9730540562953198,0.9740627833669351,0.9715574505313536,0.9509994736457741,0.9467132590391681,0.9648336129797509,0.9443840400907029,0.9730286650014549,0.9487559404165162,0.9518043252176106,0.9470060955780487,0.9093655746715058,0.9423309085293028,0.941300669537439,0.9382618909116248,0.7439895354712776,0.8112438662229041,0.6809635948526576,0.833315907928329,0.9405551253268442,0.9316314508702124,0.9017585044853034,0.9456858199848653,0.9486093817669942,0.9357183173678844,0.943765500288539,0.9506936895339387,0.9401895399407217,0.9448245891085699,0.9475702719035783,0.9299848430352226,0.9241432872817712,0.924497585355066,0.9242685038630197,0.9339511998960335
GSM2674177,0.9689138225786887,0.9757936012723943,0.968582861557202,0.9552957733217735,0.9634952503736735,0.9668710705737078,0.9514166094901422,0.9843451196208146,0.9753877685880359,1.0,0.9811245206093869,0.9817124454336846,0.9757709668194854,0.9800807670522703,0.9578815454543397,0.9603163406657075,0.9778112764258378,0.9471480803719046,0.9745163624404072,0.9667618753279256,0.967752596019539,0.9624153414595225,0.9135889447650839,0.9426089912146377,0.9385685324554024,0.9330913178634109,0.7467763516594338,0.8005801489731518,0.6760629937473663,0.831191621243736,0.9534475394033984,0.9408569703868944,0.9158382078660523,0.9515471712375709,0.9444399070397512,0.9448477775778611,0.9535204537460208,0.955638711748413,0.945262129271112,0.9526468367563591,0.9591043483212582,0.9252609812837912,0.9227105302286637,0.925691949371436,0.9197062659096337,0.9252028409543178
