,GSM2674169,GSM2674170,GSM2674171,GSM2674172,GSM2674174,GSM2674175,GSM2674176,GSM2674166,GSM2674168,GSM3304958,GSM3304961,GSM3304962,GSM3304963,GSM3304964,GSM3304965,GSM3304966,GSM3304970,GSM3304971,GSM3304974,GSM3304977,GSM3304980,GSM3304981,GSM3304982,GSM3304983,GSM3304986,GSM3304987,GSM3304989,GSM3304991,GSM3304994,GSM3304995,GSM3304996,GSM3304997,GSM3304998,GSM3304999,GSM3305001,GSM3305002,GSM3305003,GSM3305007,GSM3305009,GSM3305011,GSM3305013,GSM3305014,GSM3305015,GSM3305016,GSM3305017,GSM3305018,GSM3305019,GSM3305022,GSM3305023,GSM3305024,GSM3305026,GSM3305027,GSM3305028,GSM3305029,GSM3305030,GSM3305031,GSM3305032,GSM3305033,GSM3305034,GSM3305035,GSM3305036,GSM3305037,GSM3305038,GSM3305039,GSM3305040,GSM3305041,GSM3305042,GSM3305044,GSM3305045,GSM3305046,GSM3305047,GSM3305048,GSM3305049,GSM3305052,GSM3305053,GSM3305054,GSM3305055,GSM3305056,GSM3305057,GSM3305058,GSM3305059,GSM3305063,GSM3305065,GSM3305066,GSM3305067,GSM3305070,GSM3305071,GSM3305072,GSM3305073,GSM3305075,GSM3305077,GSM3305079,GSM3305080,GSM3305081,GSM3305082,GSM3305087,GSM3305090,GSM3305091
GSM2674169,1.0,0.9536550349190547,0.9403502444526995,0.953178607268594,0.9308002664778628,0.9062323215375407,0.9274940146468383,0.9318383683017322,0.9450864609842575,0.8648896262002049,0.9390586771606492,0.9578574496401844,0.9297727664723248,0.9347031145888678,0.9178668446237731,0.9089788864572909,0.8926219268172787,0.8801017785795734,0.9415859376322974,0.8910039751612102,0.9269540350390352,0.9194946196495664,0.9148370557444004,0.9299698567805578,0.9016033058466367,0.9338585252656861,0.9299553226310671,0.912528941784238,0.9317944535704177,0.9359566208746237,0.9021035055039943,0.9340789479644684,0.9176653356355128,0.9510734096734583,0.9140394783518225,0.9290886025176894,0.9331133182847962,0.9012842830226159,0.9208191310366594,0.9154740037874574,0.9410329368878502,0.9247416105136044,0.8844258132496132,0.9369464277096272,0.9427263334410605,0.9224167254890561,0.8911169263804612,0.846978568100113,0.9158512301048561,0.9161238068897968,0.9265345175782914,0.8717582657740723,0.9257861752544247,0.9214559935438915,0.9378018290650944,0.9346596808404648,0.929764011683874,0.9287505446702959,0.9372268168004027,0.9134201889726626,0.9449063136674714,0.9247997274896556,0.9399956404508423,0.9433639019568133,0.9207698394627003,0.9225647931472175,0.9415889811413494,0.9255045279246111,0.8056485290904738,0.8685901744326044,0.9234098941484803,0.9153117849789782,0.9570250340920394,0.923165478247803,0.8918041243187768,0.9444821715331069,0.9296912144666294,0.9119790035720526,0.8953086854141803,0.9189286953465796,0.9401992332616008,0.9186695793688405,0.9360449450460613,0.8804846555238958,0.8930652097830939,0.9441533237192135,0.9240469017365807,0.9326794123098996,0.894335853592652,0.940330516426913,0.9302320975961389,0.9199925309234833,0.9345208541175791,0.9189904312438504,0.8646577954073477,0.9443317350258611,0.897818758721574,0.9243482818598724
GSM2674170,0.9536550349190547,1.0,0.9514617154446895,0.9484168927022573,0.9535371923591018,0.9333095545901181,0.9383823795796161,0.9418165239649852,0.9630318680958986,0.8617341135082989,0.9523809050121571,0.9531162079222321,0.9215886415594681,0.9421766113777149,0.917642203444484,0.9008468124348237,0.8830355312508507,0.8897775783267045,0.9407549686057673,0.9080968666935485,0.9296826611824315,0.9198665593428912,0.923660998987437,0.9295226004768635,0.918294224925414,0.9369166054173158,0.9404029537333303,0.9266694954858746,0.9364345244664444,0.9339078256521568,0.9138178673473208,0.9337760558693452,0.9198784412262104,0.9339586997784391,0.9243044142116114,0.940758695689411,0.9314012684380006,0.915656987509526,0.9185435686885451,0.9168116318621623,0.9408468495627775,0.9207466710594441,0.8910147907011385,0.9413747032655717,0.9444616224713699,0.9437907854008014,0.9086833192674306,0.8691507382003668,0.9091692017209374,0.9299988645036452,0.9220546850790082,0.8842049856519623,0.9149675721980576,0.930552974558371,0.9466278868274263,0.9338233174354145,0.9299688136841788,0.9471686005517556,0.9492115830336073,0.9197338369569505,0.9373474255138671,0.9291420044841687,0.9326275454147646,0.938137607561564,0.9170334823116971,0.9106434400925115,0.9332785360681374,0.923051002045081,0.8296994937035974,0.8560644612664184,0.926833603845529,0.9144753125638432,0.9478338059912117,0.9130059876873816,0.910980923080125,0.9431338043741438,0.9328905165915021,0.912595956646154,0.9072905879914233,0.9346327144751874,0.9484469339743604,0.9384316293317082,0.9353101959731025,0.9061267514552817,0.9200463841615188,0.9475802439120746,0.9334520098138965,0.9266802510980773,0.8975878329099586,0.947029245606713,0.9268738644262248,0.9229042965392583,0.9315061550124774,0.9239023705698729,0.877271145771596,0.9379504425542544,0.8904506603765524,0.9300382323988412
GSM2674171,0.9403502444526995,0.9514617154446895,1.0,0.9562484195959718,0.9625480795091,0.9455124399365891,0.9385824470313162,0.9346963204987306,0.9503134981396368,0.8807425108386273,0.9564732324638852,0.9510997758102143,0.9371692824387625,0.9246718193567849,0.9457189878392406,0.9286213730151727,0.8771945442375182,0.9167302623873498,0.9453871228718639,0.9164761123262245,0.9416577609069255,0.9511669165580114,0.9275039009476611,0.949436406211282,0.9419334490816722,0.943783175703243,0.9292027851181325,0.9316009974264773,0.9491609468873976,0.9426213790560313,0.9237774055279299,0.9420405964232151,0.9374078222312869,0.9406946139644237,0.9422017799722566,0.9622693232459716,0.9572609303169329,0.9463299573254972,0.931456399045037,0.9500786743316283,0.9523728885075736,0.9181400160527428,0.9193007007844981,0.9280437555297866,0.9459211786203289,0.9439568419062904,0.9332917299985761,0.9001865485448565,0.9189560813087689,0.9518069966061649,0.9340172848392105,0.9051094834364966,0.9380206603468031,0.9517918686682957,0.9550357161078832,0.9410642166312754,0.9457358652549509,0.9344232081630851,0.9442156737875838,0.949650281785284,0.9392330034896544,0.9439631503068499,0.9492811792953004,0.9536200974413043,0.9412375909185093,0.9320395339397055,0.9468293782234167,0.9465082758699246,0.8594359864253813,0.8964219397874307,0.9448194627932363,0.9388248297699756,0.9409135621268925,0.9287552536753515,0.9210482984784586,0.957211839873645,0.9439214684441823,0.9340030239612576,0.9335815529682318,0.9512995200389681,0.9606503402380415,0.9323823397754708,0.9491109941304892,0.9375174898897185,0.9136877347905331,0.942988720347529,0.9394931722521656,0.9462110351726194,0.9189162356308367,0.9487107186745303,0.9500195495246646,0.9394737852572735,0.9357996849377507,0.9352702321103923,0.9156242943154177,0.9448007093281218,0.8902473741919296,0.940639058493111
GSM2674172,0.953178607268594,0.9484168927022573,0.9562484195959718,1.0,0.9482942254286746,0.9314702826749597,0.9401758246332489,0.9375314387734676,0.9373624989325703,0.8584272310135005,0.9495073297764731,0.951384985529793,0.9186391254175632,0.9248411486713851,0.9291591908066846,0.9060549511118217,0.889287627546251,0.8959363126833991,0.9305549428852375,0.9003238557474597,0.9319530789362072,0.9337739247897727,0.9298409321004945,0.9306892442752339,0.9211486827718302,0.9400508603715665,0.9235586874566121,0.9237481249439764,0.9395714975831745,0.9474583337366743,0.9119991354520046,0.930871059120334,0.9222892670624625,0.9382510598837921,0.9130496641245647,0.9398559497500724,0.935824253096974,0.9217762986373653,0.9141207457621262,0.9292419518147101,0.947855208350827,0.9091726120021222,0.8890008755638106,0.9244733987546402,0.9449037685843945,0.9408102531390553,0.9083399232215419,0.8708687474963468,0.9249601666078788,0.927649785382969,0.9420063477964441,0.8905463363171067,0.9215948489704188,0.9342250042637336,0.9425199483732856,0.9349696011876562,0.945476953514175,0.9202752798017289,0.9304758353501518,0.9257471102632534,0.9291573776729971,0.9274838497523028,0.9320262609285804,0.9384114777014101,0.9370904813120432,0.9272125209683341,0.9330657899251932,0.9338078264716759,0.830682799704661,0.8925908981044536,0.9358551517288902,0.916726066377095,0.9457397933763403,0.9192030447236024,0.9011861718522066,0.9509299326036628,0.9325210719734784,0.9203089082943927,0.9080326780544863,0.9309126127874291,0.9453291276742251,0.9212005669081018,0.9394822584832472,0.9027079001054877,0.9040048150397785,0.9365501392775478,0.9261586927542514,0.9261442824866857,0.8970557049038934,0.9418096970168222,0.9401149571311382,0.9250965963286921,0.9284758939032091,0.9204835171824436,0.8870685476310789,0.9447493679972682,0.8987259761531434,0.9227583811261633
GSM2674174,0.9308002664778628,0.9535371923591018,0.9625480795091,0.9482942254286746,1.0,0.9613550912148184,0.9522057079113997,0.9449294069368444,0.9470504994849028,0.8889684948809393,0.9565207560821959,0.9538840556080923,0.9258718248584598,0.925629471380634,0.942245629723361,0.9299033250495878,0.8552209488725009,0.9181886176843357,0.9507376635580883,0.9200247277076549,0.9400269087025578,0.9426125729585493,0.931974340867828,0.9464296320145478,0.949062132125783,0.9333566210171297,0.9287057930532786,0.9485883347036451,0.9380161401199231,0.9348850742648523,0.9177654225792807,0.9430710525947845,0.9323985969949333,0.9278661588987596,0.9499916542217932,0.9541906810791415,0.9435516859790825,0.949254502625707,0.9376960187538499,0.9408420648458287,0.9489451868917136,0.930300431531933,0.9013548770436214,0.933818763532982,0.94309048295029,0.9410221767497954,0.9391770780881233,0.9138175832237431,0.9233392272045128,0.9589845687281987,0.9308237349324407,0.8993790758630852,0.9272998346459441,0.9530466545685004,0.9557513108488288,0.9293131964008189,0.9433841008602495,0.9413418096507409,0.9416799721681935,0.9473267076324454,0.9334992025638321,0.9440351091900044,0.9394694286863537,0.9517516050017846,0.9405982390891433,0.9206029569060731,0.9418716515643474,0.9378453092756147,0.8706660711738828,0.8707332335891893,0.936952789341958,0.9404730230820351,0.9390034131940926,0.9138286333419938,0.9394855201287179,0.9553121607391049,0.951269516173023,0.932398287583249,0.9341286612987748,0.94766235887921,0.9582337421405336,0.9206230699115334,0.9315585696678631,0.9406697708240795,0.9311019437841667,0.9572701284112684,0.9584731817672654,0.9417650800025474,0.9285186158804923,0.9506957197650587,0.9375700115863386,0.945896531268072,0.9538920296276918,0.9444422112447812,0.9235766167571768,0.9387588336086885,0.8819238154986744,0.9459274621390644
GSM2674175,0.9062323215375407,0.9333095545901181,0.9455124399365891,0.9314702826749597,0.9613550912148184,1.0,0.930450841327927,0.9171266429922676,0.9291678093169754,0.8742109054937363,0.9351160982385323,0.9311576688455149,0.9095360351681235,0.9034972969257006,0.934289047132078,0.9222020842790646,0.8242864328985441,0.9050079366679641,0.9305322538405634,0.9140911186535093,0.9050535440687303,0.9260112079393705,0.9234814190509305,0.9227618103899855,0.9334193246140636,0.9148738105522193,0.8923487271612147,0.927855769045228,0.9099528003331068,0.9081784605026734,0.8902322973629307,0.929675654196476,0.9223308154615082,0.9010308781627839,0.9276473156496058,0.9321129912373959,0.9301517816597935,0.9316525066387409,0.9124562390266542,0.9289367854262924,0.939346917385291,0.8989829674822137,0.8997190397873304,0.9129732288463009,0.9284286941197658,0.9203317092236332,0.9276259555223085,0.9068058718777408,0.9122902299913106,0.9364817648666731,0.9111217732073137,0.90258412158713,0.8914360778641259,0.932342048125514,0.9343019267584217,0.9218135239960172,0.9262283210430783,0.9178022396547622,0.9132434982609225,0.9324552493388414,0.8956901205173303,0.9235246796276998,0.9140692027524195,0.9271117468580108,0.9208042074950905,0.8983100294518391,0.9130514269664503,0.9203256997810877,0.8619055030457679,0.8485624183265912,0.915819947460088,0.9257357717158363,0.9135718528285288,0.8879105896013871,0.9188259114935566,0.9279644085163928,0.9234857560303451,0.9133730005069415,0.9222239970519859,0.9355735489589375,0.9333551362875,0.9070572201551373,0.9191405430309961,0.9256314471077516,0.9076487194237176,0.9263849704114472,0.9237750224746326,0.9274413908081148,0.9125529117363547,0.9258308103514428,0.9167609452407499,0.9302784444991848,0.9213300191037364,0.92373019950205,0.91848490237323,0.9324216990905455,0.8446321593517214,0.9343590078314996
GSM2674176,0.9274940146468383,0.9383823795796161,0.9385824470313162,0.9401758246332489,0.9522057079113997,0.930450841327927,1.0,0.9855705614219056,0.9347822038792275,0.8444938160382699,0.9428897785946744,0.937995435231558,0.9311126576257813,0.9101519627465584,0.9186317622353799,0.8969071283261799,0.8579165402212714,0.8995551999009541,0.929373396710625,0.90901681591779,0.9302058769248152,0.9268365464688906,0.9350872998319747,0.9098272929569804,0.9236047164651839,0.9176618578206964,0.9074073638463721,0.9255824956620199,0.9305039563016331,0.9262099695161226,0.9056173647777787,0.9404269109717723,0.9262672559631936,0.9195018642214865,0.9187628495237037,0.9380256537313376,0.9384871279072843,0.923362771611789,0.928286128911665,0.9145081209977557,0.9388428230971911,0.9138009590451943,0.8906596330663845,0.9165602864384289,0.934505376445931,0.9330902707542355,0.915094814676048,0.8831404364637863,0.903960332246354,0.9329999287630604,0.9314670093547912,0.8893247656615465,0.91095780232903,0.9274041207603346,0.9289775186102843,0.9239497657518256,0.9276735247001187,0.9215450941285814,0.9307017566708367,0.9297245535191001,0.9202906574301135,0.9156908768980445,0.9323102333194234,0.9294615118521942,0.9309624833407434,0.9157628712637997,0.9235676591649999,0.9128680521820708,0.8386532946104907,0.8751859365192493,0.9337965467574899,0.9123217213008379,0.9263178047721234,0.9115240210813994,0.9100284472751825,0.932134179131894,0.9426409741097462,0.9246758662876758,0.9054063058436055,0.9335676683032628,0.9384269297507636,0.9099431252449608,0.9101242520127176,0.916474092715718,0.9237238039855068,0.9414426542708694,0.9401114911826483,0.9110322888535592,0.8959385702492547,0.934616468770817,0.9152281018404157,0.9185565777883203,0.9325837566964873,0.9343139901915443,0.894051408094826,0.9205295187303268,0.8886399133643803,0.9163988773882944
GSM2674166,0.9318383683017322,0.9418165239649852,0.9346963204987306,0.9375314387734676,0.9449294069368444,0.9171266429922676,0.9855705614219056,1.0,0.9356631987133641,0.8330446968276671,0.9420463714001927,0.9346386814370966,0.9305152300247521,0.9130477294228757,0.9063626861504049,0.8838357263354366,0.8728827861118148,0.8851828846145973,0.925404231428666,0.8988680424810601,0.9350235023037999,0.9198639012380141,0.9317824374011374,0.9065716960441152,0.9080188194473762,0.921979938670703,0.9188138571317158,0.9201521235426312,0.9342203730832654,0.9296167613180227,0.9141001016052422,0.9342668460941428,0.9196721360941231,0.9237125704521729,0.9107515583057989,0.934654788483426,0.9357108289773585,0.9151160172822619,0.9232332450188934,0.9035793201047896,0.9308259211477876,0.9153813741423376,0.8836056020765042,0.9230456440391943,0.935612714134661,0.9313411687025352,0.907293749011392,0.8598885837532504,0.898031617685777,0.9291444832119803,0.9344150760583623,0.8711721692520994,0.9168032018506539,0.9198389451772304,0.9263081466541034,0.9194173711583604,0.9215422181518584,0.9221094252964197,0.9340252077802044,0.9226821607315867,0.9281035775545576,0.9106127311886327,0.935703860949171,0.9223229034881908,0.9244861954563475,0.915864731940368,0.9245684766809149,0.9030246876441055,0.824283004462439,0.8768617988094605,0.9317654693599914,0.8971718880186024,0.9286249896437405,0.920330122941434,0.902573470239173,0.9291039237009977,0.9455052905901623,0.9218087800422659,0.8885241660383632,0.9312570455089476,0.935788874819005,0.9097757275382652,0.9092229414251285,0.9030321725595425,0.9191686535446998,0.942267120727117,0.9403616135708395,0.9014664160431868,0.8836871856817045,0.933129574207554,0.9167616684769924,0.9089311151190891,0.929478553708523,0.9326121567299186,0.8759017430578079,0.9163224702618301,0.9049772685852107,0.904408422527867
GSM2674168,0.9450864609842575,0.9630318680958986,0.9503134981396368,0.9373624989325703,0.9470504994849028,0.9291678093169754,0.9347822038792275,0.9356631987133641,1.0,0.8546357752870306,0.9476843294985527,0.9455599576736603,0.9294311770888508,0.9420307476969778,0.9174150086633939,0.9011852409661811,0.8856933025027399,0.8890119627465806,0.9427718718947699,0.9082803505805258,0.9345401761043873,0.9209535264089023,0.9164768298909163,0.9314049821245849,0.91797306674702,0.9367968491973447,0.9412784235810652,0.9206735366833014,0.9457329066043192,0.9356097313517362,0.9126898390181518,0.9364161654617794,0.9202925457805124,0.9334662540035853,0.9263465630227739,0.9437203015308737,0.9365259839418096,0.9254975379899438,0.9242533449806354,0.920283309865099,0.9372474000786992,0.9206264462911852,0.8966133307751678,0.939374399006686,0.9401475857004562,0.9315651228295296,0.9090810804852713,0.8651753706739772,0.8952138421487397,0.9335073577092308,0.9173311842184331,0.8724325372269983,0.9264306906039872,0.9288024063415181,0.9460067677334045,0.9332775837818443,0.9276538371627088,0.9420846287738881,0.9470184926562346,0.9266701100397706,0.9402856682472817,0.933023133403013,0.939510246025058,0.938622145898169,0.9174066626815178,0.9101048391328546,0.939241668009945,0.924498748369889,0.8276357774565929,0.8550643988738758,0.9280693900217201,0.9172165036121724,0.9402529557435356,0.9183518930474049,0.9075263546716894,0.9471473784321827,0.934092053566634,0.9141301337766651,0.9089844107666564,0.9425283106430211,0.9529476200167588,0.9402102107113692,0.9321888770153485,0.9103022915675951,0.9114033037233074,0.9454587634922275,0.9289947792700733,0.9286805348561358,0.8938311368399604,0.9428950724645732,0.9253410209477778,0.9243476877141356,0.9284328470073429,0.9245445380157513,0.880091299302963,0.9307745115451089,0.8869474353535803,0.9245458269831914
GSM3304958,0.8648896262002049,0.8617341135082989,0.8807425108386273,0.8584272310135005,0.8889684948809393,0.8742109054937363,0.8444938160382699,0.8330446968276671,0.8546357752870306,1.0,0.8537064017239036,0.8701950936022538,0.8394422158728524,0.8533686744665901,0.8956279462584105,0.9178154904376662,0.749896018005865,0.8931739721378681,0.8830914488422966,0.8829903269255966,0.8277546109230504,0.8729281716429327,0.8491778431255275,0.9021082681448538,0.8922707133916067,0.8325526327863848,0.8247203938854463,0.8843951726792587,0.8444771976121704,0.829895958969527,0.7946177012696268,0.8743479205040179,0.8749385743209297,0.8459668090827274,0.8976671648120667,0.873224836306422,0.8641692991037918,0.8585971254790107,0.844620661625735,0.898179131098969,0.8843889664410852,0.8664811406935801,0.8591570644946858,0.8521069823933547,0.8559968607545786,0.8466070062392167,0.8858922107519017,0.8994721711349403,0.8692311867267539,0.887261690985466,0.8294601231450365,0.8759269361514644,0.8235731640589506,0.8981770660517922,0.8970389068799557,0.8438355658369785,0.8691624444852444,0.8608941421162968,0.849723156303033,0.8738705693523084,0.8413268847073828,0.8932228937334763,0.8411848938376135,0.8936393524611997,0.8669502514080215,0.8502835882879756,0.8641288061537473,0.8877870025362945,0.849070602417381,0.7865918688925216,0.8480799667255582,0.9075605563280699,0.8576849174360565,0.8117915480620254,0.888872682876742,0.8734965102649731,0.8456460113308628,0.85409802633244,0.9075530693322104,0.8580353826184878,0.8720318556923045,0.8302728498609708,0.8687199380160693,0.8808320214390304,0.8619182566837251,0.8786977338598805,0.8687807950510189,0.9142050806096638,0.9140605450663096,0.8623525472241921,0.8597109063734943,0.9058273816235348,0.8844476336198337,0.8652152641273072,0.892094728109591,0.8934103121442653,0.7571745421656044,0.9127970052985034
