,GSM2674214,GSM2674208,GSM2674209,GSM2674210,GSM2674211,GSM2674212,GSM2674213,GSM2674215,GSM2674216,GSM2674197,GSM2674198,GSM2674199,GSM2674200,GSM2674201,GSM2674202,GSM2674203,GSM2674204,GSM2674205,GSM2674206,GSM2674207,NS_2,NS_1,GSM3304967,GSM3304992,GSM3305000,GSM3305005,GSM3305043,GSM3305074,AP.7,AP.8,AP.9,AP.10
GSM2674214,1.0,0.9181300533955059,0.952796601963937,0.9020510615794044,0.926883277536812,0.902610028666665,0.9620466165351004,0.8820309397288657,0.9036332336673311,0.8851006759194802,0.9601309261343164,0.8981135433251363,0.897596782232859,0.9013651997534748,0.9051896146013733,0.8927364293157202,0.8923108146823259,0.9165993848080563,0.8549055496707331,0.88509896909754,0.9529388264117474,0.9419756643276834,0.9257474928293296,0.9391067108714223,0.9077969133512226,0.9237666202217286,0.9335484226897369,0.9475282898494549,0.9268235688592573,0.9347587310944275,0.935390713365987,0.9548158699913786
GSM2674208,0.9181300533955059,1.0,0.935917333344219,0.9229410846080487,0.9318429710355844,0.9248838749843238,0.8906623930883127,0.9164391367300193,0.9110898909395635,0.9096619116078888,0.9049796375395743,0.910808220731311,0.9089270941455191,0.8888416139468308,0.9250612997281484,0.9260070382105876,0.9287719777437119,0.9413690430920602,0.8904049634961176,0.9334317119579709,0.9004909062005483,0.9065916985888257,0.9118280949060703,0.922514128092778,0.8878908266361152,0.9113845690190351,0.9154908864443982,0.9240060832056934,0.8956262750933498,0.9086277226294417,0.9145563314973566,0.922310639595653
GSM2674209,0.952796601963937,0.935917333344219,1.0,0.9279863242043583,0.9355458124229228,0.9381854619962846,0.9353758426610231,0.9124758203216791,0.9220136131507486,0.9208181900113088,0.9384276479379156,0.913559009395931,0.9187771116658268,0.9038783539964154,0.9359836112482128,0.922648956519209,0.9292687840749088,0.9431405755616709,0.9012313085636051,0.9206048462309231,0.9365140747921419,0.9397309565212343,0.9295341915403718,0.9387377593446793,0.9014861852748433,0.9196950360205104,0.9385660961832344,0.948853022724566,0.9239162233725197,0.9318735715717815,0.9366270745185422,0.9446536839948958
GSM2674210,0.9020510615794044,0.9229410846080487,0.9279863242043583,1.0,0.8942025921744171,0.9411319777226638,0.858801563201817,0.9221028934476261,0.9218561090226614,0.9336341722092396,0.8961130516115201,0.908125770526614,0.91169265600403,0.8858716907805256,0.9216019152754608,0.9049469708720701,0.9249703372201413,0.9211072274739726,0.8940437260769847,0.9249060331277058,0.8757096827770121,0.8704482539240559,0.8987226014764743,0.8965247780983974,0.8680966166679707,0.8989412573465779,0.9058177720191974,0.9108819760079356,0.8746720680983383,0.8792193824318861,0.8844917494385783,0.8887775844926238
GSM2674211,0.926883277536812,0.9318429710355844,0.9355458124229228,0.8942025921744171,1.0,0.909731819626804,0.9020117495692768,0.9065330715553195,0.8981807368035549,0.91599090340495,0.9095696988392736,0.9158560425612293,0.924876673331258,0.898756417327149,0.922586450763147,0.9225218969550437,0.9244458278118414,0.9505846474455474,0.8977015538287383,0.9104590823893266,0.91920805395947,0.9198563540839267,0.911827414744182,0.9477753734443677,0.921275631413136,0.9451103629361526,0.9201057653210972,0.9357977438466164,0.909895450924746,0.9318936123871595,0.9337587117670332,0.9315159989285605
GSM2674212,0.902610028666665,0.9248838749843238,0.9381854619962846,0.9411319777226638,0.909731819626804,1.0,0.866031792389103,0.9277569523127454,0.9206486994839271,0.9330093026582856,0.885001711403337,0.8960360268275731,0.926612309269176,0.8714733537227815,0.9312101985323454,0.9119683687665209,0.9400528938588858,0.9299734903657566,0.9106298935963352,0.9249469517949894,0.8773190124080361,0.876044118056748,0.9039950138046132,0.9070796355088296,0.8557816937429236,0.8998757711691671,0.9081696346490945,0.9197728502871717,0.8826760620080748,0.8860174989375436,0.8992814455052842,0.9027238777968895
GSM2674213,0.9620466165351004,0.8906623930883127,0.9353758426610231,0.858801563201817,0.9020117495692768,0.866031792389103,1.0,0.8376902518782117,0.8795425899759605,0.8457866688467995,0.9585710700697895,0.868208741436279,0.8616710306225213,0.8802517476751238,0.877252775678864,0.8530329873734962,0.8623038646389131,0.8751689136377039,0.8272964089007783,0.8448611455405937,0.9522509732236263,0.9462963957919528,0.9069344815332779,0.9236141855206366,0.8846274226957763,0.8956041717009887,0.9213727795364014,0.9294303999444637,0.9177467787235986,0.9213496095596527,0.9259707123803448,0.9443471588623773
GSM2674215,0.8820309397288657,0.9164391367300193,0.9124758203216791,0.9221028934476261,0.9065330715553195,0.9277569523127454,0.8376902518782117,1.0,0.9083800184649847,0.9286740323100464,0.8654901421066998,0.9009419093049422,0.9045584000698653,0.8755584398832706,0.9100791866774427,0.9108858921763464,0.9202692246297599,0.9266520583726628,0.895547432894131,0.9252811742275184,0.8562028672901385,0.857560977740064,0.8872021340883088,0.892133199854883,0.854209682995172,0.8892972868209843,0.886358466018003,0.8950813863899743,0.875671178278389,0.8639093117940367,0.8867973612596849,0.8756555470152851
GSM2674216,0.9036332336673311,0.9110898909395635,0.9220136131507486,0.9218561090226614,0.8981807368035549,0.9206486994839271,0.8795425899759605,0.9083800184649847,1.0,0.9127373577189603,0.8982344015455501,0.9023962810935666,0.9053215503952902,0.9042506170003912,0.9183864324244662,0.9062782181114154,0.9111607785346173,0.91438199107734,0.903395486877253,0.8996752365337607,0.8682351877340382,0.8745390282482011,0.9036279617078925,0.9077216085416664,0.8633488388887974,0.9008368132960933,0.9025909197305606,0.9059600534993681,0.8696860203834305,0.8795944777844144,0.8775911548574082,0.8972591012261992
GSM2674197,0.8851006759194802,0.9096619116078888,0.9208181900113088,0.9336341722092396,0.91599090340495,0.9330093026582856,0.8457866688467995,0.9286740323100464,0.9127373577189603,1.0,0.8756774424222145,0.9021671729431007,0.9258196963400496,0.87742394043133,0.9149801875520556,0.9145301943675039,0.9427266074472062,0.9298409402778359,0.9274886414818952,0.926938292159708,0.8741066969189167,0.8719839437914101,0.8836801629805983,0.9043713637902464,0.8654906390616877,0.901900266088167,0.8919868017541892,0.909139405800413,0.8786033977328971,0.886233723582244,0.8907512391064613,0.8869382523257542
