,SSA.P.1,SSA.P.2,SSA.P.3,SSA.P.4,SSA.P.5,SSA.P.6,SSA.P.7,SSA.P.8,SSA.P.9,SSA.P.10,SSA.P.11,SSA.P.12,SSA.P.13,SSA.P.14,SSA.P.15,SSA.P.16,SSA.P.17,SSA.P.18,SSA.P.19,SSA.P.20,SSA.P.21
SSA.P.12,0.9486060428484918,0.941870062227017,0.9276216461198641,0.9342947788550542,0.9287041999556999,0.9290529340340445,0.9453813960246389,0.9541510439071407,0.9662886732350198,0.9585085583878159,0.9725600601899514,1.0,0.9021618389417194,0.8716482793548612,0.9532034160099055,0.9486676894221903,0.9249271174572948,0.887512141166483,0.9321082984610742,0.8345522041703628,0.9559253976096661
SSA.P.13,0.9241890537978047,0.9429903765448251,0.9480709213074574,0.9442679653556179,0.9364351553841462,0.9526220893428454,0.9317974971201051,0.9331047090445613,0.9205988275416884,0.9297786488590785,0.9145651150558044,0.9021618389417194,1.0,0.9571305809126531,0.951070156978528,0.9308356522931175,0.9148714127498802,0.9152333887221092,0.9432909416317975,0.8066596955980154,0.9044716639236005
SSA.P.14,0.9008469231538098,0.9322569379065594,0.9344957643124696,0.9380800511122304,0.9290150231017761,0.9268041399102623,0.8979977795898327,0.8988678283758106,0.8934464794443795,0.8947931242327768,0.8886255191210678,0.8716482793548612,0.9571305809126531,1.0,0.9281741390335083,0.9195683833868841,0.9078137523672729,0.8861150100710704,0.91693488132133,0.7741807723883966,0.8868886491661968
SSA.P.15,0.9577692672562004,0.9767233442662289,0.9478028285768926,0.9633434266354429,0.9719653927949298,0.9364157000780785,0.9655509633278356,0.9573285008828224,0.9604086772867252,0.9513804214998375,0.9660236089048987,0.9532034160099055,0.951070156978528,0.9281741390335083,1.0,0.9569092256415556,0.933812407491927,0.9317445199626204,0.9669395399849078,0.8621732847917172,0.9416731105771161
SSA.P.16,0.9662787063023732,0.95307873641792,0.966246699705467,0.9558931446441536,0.930722385184429,0.9406175021043419,0.9137383480344142,0.9357688614085011,0.9387342438190823,0.9358825203337117,0.9353675683848496,0.9486676894221903,0.9308356522931175,0.9195683833868841,0.9569092256415556,1.0,0.959752052231446,0.871545241471578,0.9332365551696694,0.7753290365318701,0.9424388845026136
SSA.P.17,0.9411064159385397,0.9365760742732732,0.9684263201501919,0.9516619928999637,0.9040316962672826,0.9358287184478871,0.8837239468822031,0.9100441864866456,0.9103838463897622,0.9067911760342924,0.8935295277003799,0.9249271174572948,0.9148714127498802,0.9078137523672729,0.933812407491927,0.959752052231446,1.0,0.8310759939358351,0.8899257033984682,0.7149721429796374,0.9226714705885639
SSA.P.18,0.8863356709996919,0.934024743262551,0.8579525328974829,0.8910532024688259,0.9526239968861115,0.8790098391058928,0.951309283411816,0.9258400543133866,0.9230167022264044,0.914478621411695,0.9350568876446269,0.887512141166483,0.9152333887221092,0.8861150100710704,0.9317445199626204,0.871545241471578,0.8310759939358351,1.0,0.9412864619039477,0.9317062909975676,0.8638372963339163
SSA.P.19,0.9382890168434428,0.9563630565384013,0.9125706734635279,0.9465828538995645,0.9621624720076167,0.9085334394447615,0.9586763064431096,0.9371003395946097,0.9515078154844494,0.9477870872170231,0.9606499258769284,0.9321082984610742,0.9432909416317975,0.91693488132133,0.9669395399849078,0.9332365551696694,0.8899257033984682,0.9412864619039477,1.0,0.8835696257319923,0.9128560162246594
SSA.P.20,0.8082731544185005,0.8646742108019513,0.7388162462129766,0.7956490544881855,0.90148983366988,0.7698677582818197,0.9174008921111658,0.8643059067361841,0.8718385359693268,0.851452655712082,0.900502870046035,0.8345522041703628,0.8066596955980154,0.7741807723883966,0.8621732847917172,0.7753290365318701,0.7149721429796374,0.9317062909975676,0.8835696257319923,1.0,0.803893015500242
SSA.P.21,0.9379466658299094,0.9287895033462724,0.9296384300780692,0.9327887061999267,0.9134127455943887,0.9206355269204932,0.9254532721518901,0.9326640436138379,0.9525593572635883,0.9511004069107692,0.9401705456504098,0.9559253976096661,0.9044716639236005,0.8868886491661968,0.9416731105771161,0.9424388845026136,0.9226714705885639,0.8638372963339163,0.9128560162246594,0.803893015500242,1.0
