,GSM2674196,GSM2674188,GSM2674189,GSM2674190,GSM2674191,GSM2674192,GSM2674193,GSM2674194,GSM2674195,GSM2674177,GSM2674178,GSM2674179,GSM2674180,GSM2674181,GSM2674182,GSM2674183,GSM2674184,GSM2674185,GSM2674186,GSM2674187,NA_3,NA_1,SSP_4,SSP_3,SSP_7,SSP_8,CA.1,CA.2,CA.3,CA.4,CL.1,CL.2,CL.3,CL.4,CL.5,CL.6,CL.7,CL.8,CL.9,CL.10,HP.1,HP.2,HP.3,HP.4,HP.5,HP.6
GSM2674196,1.0,0.9781684201829284,0.9805588889820656,0.9334405978916823,0.9381495416078613,0.9420338075598144,0.9251237775360982,0.9651102700260955,0.9687892079411695,0.9710222424107532,0.9707428278059363,0.9765028977462239,0.9734825177349806,0.9665024602388782,0.9721298634919102,0.9358786731138549,0.9668172601573164,0.939881095656527,0.9712752108331204,0.9493677659116452,0.9417587652932323,0.9516095850499435,0.9105098616849266,0.9488416768635896,0.9417284781454316,0.9324357906745123,0.7086954694285623,0.7650511545882278,0.6727698731305827,0.8004833124374742,0.9549601107630248,0.9505381335030536,0.9341119682740965,0.9554147557717582,0.9534244173970047,0.9513106790387436,0.9530166027989928,0.9536583890724021,0.957273693621428,0.9547230458391274,0.9452639376818496,0.9324249199919196,0.9234927073475057,0.9336704000603668,0.9281391325541227,0.9062290596034819
GSM2674188,0.9781684201829284,1.0,0.9780352444975853,0.9358422760869418,0.9506442365193476,0.9478329570097788,0.935292228253669,0.9716665756827688,0.9612542590670218,0.9779076276059259,0.9681299177528488,0.9733686604445231,0.9723332119781734,0.9721293185371772,0.9709765483688293,0.9461422201365096,0.9727609419919349,0.9412800875790238,0.9693323324859512,0.9564093306522837,0.9451273824207791,0.9549171503819345,0.9052779733801815,0.9453469655685091,0.9380621184822783,0.9271036407715395,0.7143852352585268,0.7668190759639751,0.6731835283754228,0.8056265425789735,0.9536400363310031,0.9437657511945978,0.9277613204814542,0.9520165490875352,0.9432210262305463,0.9500071427258436,0.9587716010677605,0.9510873691884669,0.9539885201533758,0.956857369195562,0.9472799949771693,0.9197737462517281,0.9140673328563672,0.9264295566808131,0.9164625090441845,0.89728549534046
GSM2674189,0.9805588889820656,0.9780352444975853,1.0,0.941660745053776,0.9461462777988328,0.9454250449972366,0.9255439959107697,0.9672643246571426,0.9603663318056757,0.9710953229304846,0.9746493303615544,0.9810390663719191,0.9792361730271708,0.9717834447323122,0.9748388114701422,0.9279289502532961,0.9686496678599948,0.9258376304821613,0.9779649007245844,0.9490333696932312,0.9457279431423281,0.9596844567354197,0.9224970076206005,0.9449596453312509,0.9386886471554352,0.926329675673205,0.7061771967885418,0.7408105829377453,0.6553917661984691,0.7935778855296126,0.9574580099005953,0.9566829472034291,0.9418549198535513,0.9599520815444087,0.954412801946884,0.963046896275203,0.957132796621025,0.9590256361892598,0.9588652530744667,0.9571569773661717,0.9494757495019304,0.9301899225154562,0.9274594201612596,0.9343658878530846,0.9368513040425389,0.9049464147766704
GSM2674190,0.9334405978916823,0.9358422760869418,0.941660745053776,1.0,0.9817692914311554,0.9857222561208945,0.9786650226000178,0.9642199119248528,0.9556274886769317,0.9583391230586163,0.9611229816596848,0.9592338406356737,0.9626255876786272,0.9617917823003578,0.923242592686307,0.9585387438771754,0.957863514496069,0.9340073851589652,0.9688670192997416,0.9589329717269798,0.9514586738044385,0.9425407372939235,0.9037692993323753,0.9170342187989863,0.9123285879396053,0.9038713271157515,0.713523922853141,0.760251358391937,0.6071126628438202,0.804385453284476,0.9170627532153717,0.9144774981447701,0.8988662241958386,0.9242727235061877,0.9238645877606333,0.9311268254291609,0.9214398423044398,0.9402987433773834,0.9100250065859534,0.9206527744627365,0.940453834404017,0.9006887241294026,0.9205605477112301,0.9095126352911159,0.9111487949439724,0.9151635535870019
GSM2674191,0.9381495416078613,0.9506442365193476,0.9461462777988328,0.9817692914311554,1.0,0.9836415661068383,0.9804872257236212,0.9721957734468492,0.9553734294807149,0.9657051768814123,0.9609285346051779,0.961161602485754,0.9651396640333377,0.971119432758395,0.933456768319413,0.9626660848239821,0.9657200888423368,0.9326028670144889,0.9682123824502448,0.9614355419988665,0.9556684070123563,0.9526772799952152,0.9029012237975934,0.9202168828182339,0.9146515124051227,0.9041170970223641,0.7142150508611143,0.7609273104433385,0.6121134888506269,0.8087267611903497,0.92315906117472,0.9125226635877872,0.9017032841190301,0.9308115162175102,0.9225148503766936,0.9358478419186991,0.9331005025786722,0.9424559972678941,0.9186568768158173,0.9289743634019928,0.9468375349760042,0.8940859365651104,0.9121673244672353,0.9058313756608806,0.9068293453813976,0.9030343290000431
GSM2674192,0.9420338075598144,0.9478329570097788,0.9454250449972366,0.9857222561208945,0.9836415661068383,1.0,0.9807881689126402,0.9726768277060239,0.9645209485108897,0.970055791645309,0.9661508437390889,0.9647053772243159,0.9650728860798028,0.970714673129048,0.9293236503921868,0.9665032751252908,0.9638752793249061,0.9419933526057767,0.969510461575391,0.96317868697091,0.9592844489730281,0.9469775991387396,0.9025558396094432,0.922851804640847,0.9174519256380208,0.9109948777333394,0.7194570204300096,0.7790838177734406,0.6216289099881052,0.8163643399046918,0.9228248388869639,0.9161825606288061,0.8984284193929699,0.927694665876681,0.9252104127354869,0.9310188053707391,0.9289520364569812,0.9427783739259623,0.9177856737715883,0.9259712252249096,0.9436017913625816,0.9022205827881037,0.9170187021572245,0.9114444515347905,0.9088718232545928,0.9169387056920317
GSM2674193,0.9251237775360982,0.935292228253669,0.9255439959107697,0.9786650226000178,0.9804872257236212,0.9807881689126402,1.0,0.9590359886134262,0.9478074393374687,0.9553006460193088,0.9539084473782308,0.9475373298178356,0.9502351815170588,0.9542303831401089,0.9206355817987005,0.9665727491109096,0.9597883198368157,0.9397092921181819,0.9561420410336107,0.961742609385984,0.9444621082603162,0.9390682224326349,0.8910246641475329,0.912790378442865,0.8990455959230566,0.8981509698370813,0.7215290426769159,0.7749137326372038,0.6199433153314353,0.813444476358218,0.9078824131829085,0.8971214447378473,0.8875973409083479,0.9126704629786726,0.9149335622977803,0.9229120537669648,0.9162044422588466,0.9299531096184472,0.8992438090250441,0.921103178358874,0.9409359702106096,0.8913649613617001,0.9109548505836628,0.8981886581070919,0.8907557566515865,0.9054549110377506
GSM2674194,0.9651102700260955,0.9716665756827688,0.9672643246571426,0.9642199119248528,0.9721957734468492,0.9726768277060239,0.9590359886134262,1.0,0.975673697178608,0.9845109213434703,0.97958213509991,0.9797638085284008,0.9821644277287114,0.9838353839946429,0.9635079207254249,0.9572145851945469,0.9743074067469024,0.9389881714961825,0.9775371263110862,0.9603903659999565,0.9631787298695311,0.9608863711021791,0.9145061025228275,0.9401945381036583,0.9373774796088435,0.9257428255025181,0.7290954905519039,0.7776888351414997,0.6503027407464635,0.8235773037283585,0.9493082328174599,0.9369788302102634,0.9205001696162292,0.950563412897387,0.9466388855608774,0.9485093584547898,0.9562739321133804,0.9547935646912886,0.9463802799396386,0.9537850338750459,0.956083599567036,0.9229170321510819,0.9196127406917654,0.9287298036619154,0.9272771367980074,0.917846108278088
GSM2674195,0.9687892079411695,0.9612542590670218,0.9603663318056757,0.9556274886769317,0.9553734294807149,0.9645209485108897,0.9478074393374687,0.975673697178608,1.0,0.9748302361856898,0.9715865872790723,0.9733437672922408,0.9744785570454298,0.9711290132675998,0.9536565446218233,0.9493174387203651,0.9639146912010227,0.9456913574595578,0.9735146256014687,0.950727414852419,0.9536956550216193,0.9476865111970157,0.907921163253876,0.9431259388049534,0.9404881525452038,0.936174483300426,0.7341972159899921,0.8052772041270065,0.6801690043814882,0.8333010459278698,0.9420184048957301,0.9349044521952456,0.9069668650661544,0.9457214513735509,0.9497913721988631,0.937550393670518,0.9445895909976397,0.9516845599764675,0.9427836934962357,0.9455268598885856,0.9459715200096288,0.9309999115256864,0.9261700740552982,0.9282376131573096,0.9258096730460628,0.9320003451779726
GSM2674177,0.9710222424107532,0.9779076276059259,0.9710953229304846,0.9583391230586163,0.9657051768814123,0.970055791645309,0.9553006460193088,0.9845109213434703,0.9748302361856898,1.0,0.9804941528288683,0.9817886444810213,0.9765142533997111,0.9812777248094807,0.9601194727662611,0.9640659905285739,0.977743034951944,0.9486316638706055,0.9753254509532346,0.9688639565523768,0.9691162690550289,0.9624231428163535,0.9114567008113913,0.9427334847627965,0.9372367731989365,0.9297112392611828,0.7337648277361212,0.7917870845168197,0.6660829720439998,0.8303043270207375,0.9535739521536496,0.9430235555641421,0.9199479593787635,0.9514228641824953,0.9437975271530229,0.9460954231957877,0.9545304628765048,0.9559936700282151,0.9462291153002401,0.9516399142816896,0.957232153129334,0.9240982847001781,0.922322846877587,0.928133985479447,0.9197927557036116,0.9207724762560625
GSM2674178,0.9707428278059363,0.9681299177528488,0.9746493303615544,0.9611229816596848,0.9609285346051779,0.9661508437390889,0.9539084473782308,0.97958213509991,0.9715865872790723,0.9804941528288683,1.0,0.9815812633735104,0.982194771278974,0.9789510689818706,0.9702579527241549,0.9503382589897108,0.9798810590593229,0.9385408666715932,0.9799295193989244,0.962568385448949,0.9595068801112331,0.9642304713746498,0.9279679048183588,0.9495860300900982,0.937712924139733,0.9325100929246878,0.722639872228839,0.7671559154542549,0.6423023189393896,0.8144443138465369,0.9460663174777795,0.9443569447517105,0.937332537651859,0.9502625088163635,0.958685710182076,0.9601929201083576,0.9507958928198511,0.9561400209505627,0.9471245187164565,0.9558815989639876,0.9590577985359201,0.9363085933717311,0.934335491122416,0.9426054181944602,0.941598736235506,0.9261795223288958
